term	score	AffectDimension
endémique	0.484	fear
noirceur	0.484	fear
divorce	0.484	fear
répugnant	0.484	fear
hallucination	0.484	fear
diffamation	0.484	fear
populace	0.484	fear
ambulance	0.484	fear
hôpital	0.484	fear
pire	0.484	fear
consternation	0.484	fear
accusation	0.484	fear
déshonorer	0.484	fear
braconnage	0.484	fear
bizarre	0.484	fear
coupe	0.484	fear
nerveux	0.484	fear
insécurité	0.484	fear
parjure	0.484	fear
fouetter	0.484	fear
accusant	0.484	fear
claquer	0.484	fear
vorace	0.484	fear
si nerveux	0.484	fear
démon	0.484	fear
palpitations	0.484	fear
contraindre	0.484	fear
canthandleit	0.484	fear
retard	0.484	fear
fissuré	0.484	fear
restriction	0.484	fear
indéfendable	0.484	fear
partial	0.484	fear
frisson	0.484	fear
guerrier	0.484	fear
inquiétant	0.484	fear
reculer	0.484	fear
oh non	0.484	fear
pécheur	0.483	fear
opposé	0.483	fear
inspection	0.483	fear
désespéré	0.474	fear
manquant	0.474	fear
assombrir	0.471	fear
austère	0.47	fear
déprimé	0.469	fear
trembler	0.469	fear
submergé	0.469	fear
mauvais pour la santé	0.469	fear
décomposition	0.469	fear
mal aux dents	0.469	fear
saisir	0.469	fear
infidélité	0.469	fear
superstition	0.469	fear
subversion	0.469	fear
illégalité	0.469	fear
animosité	0.469	fear
détenu	0.469	fear
critiquer	0.469	fear
révoquer	0.469	fear
accusé	0.469	fear
naufrage	0.469	fear
intrusif	0.469	fear
inhumain	0.469	fear
battre	0.469	fear
conséquences	0.469	fear
la tremblante	0.469	fear
féroce	0.469	fear
frette	0.469	fear
nerveux	0.469	fear
panne	0.469	fear
mâchoires	0.469	fear
idolâtrie	0.469	fear
astéroïde	0.469	fear
fièvre	0.469	fear
admonition	0.469	fear
précipice	0.469	fear
régime	0.469	fear
blindé	0.469	fear
accuser	0.469	fear
surprendre	0.469	fear
lance	0.468	fear
préoccupé	0.466	fear
méchant	0.466	fear
treizième	0.465	fear
puma	0.465	fear
contrebande	0.464	fear
peu sûr	0.461	fear
perturbation	0.459	fear
dénonciation	0.456	fear
dépourvu	0.455	fear
stigmate	0.455	fear
puissamment	0.454	fear
dérogatoire	0.453	fear
battre	0.453	fear
prévenir	0.453	fear
fusil	0.453	fear
démissionner	0.453	fear
dilemme	0.453	fear
gronder	0.453	fear
détroits	0.453	fear
de mauvaise réputation	0.453	fear
spasme	0.453	fear
dinosaure	0.453	fear
restreindre	0.453	fear
rigueur	0.453	fear
aigu	0.453	fear
étranger	0.453	fear
perturbation	0.453	fear
appréhension	0.453	fear
tâtonner	0.453	fear
lamenter	0.453	fear
indicible	0.453	fear
hurler	0.453	fear
l'hydrocéphalie	0.453	fear
peine	0.453	fear
omgomgomg	0.453	fear
blocage	0.453	fear
endoctrinement	0.453	fear
oh mon dieu	0.453	fear
pénal	0.453	fear
orphelin	0.453	fear
résister	0.453	fear
illicite	0.453	fear
urgent	0.45	fear
accusation	0.45	fear
tramp	0.44	fear
monstre	0.439	fear
stress	0.439	fear
masse	0.438	fear
obstruer	0.438	fear
empêtré	0.438	fear
expulser	0.438	fear
pervers	0.438	fear
ciblage	0.438	fear
disloqué	0.438	fear
accusateur	0.438	fear
dentistes	0.438	fear
hurler	0.438	fear
aspic	0.438	fear
confiscation	0.438	fear
infirmité	0.438	fear
dominer	0.438	fear
tribunal	0.438	fear
aghhh	0.438	fear
situation difficile	0.438	fear
égaré	0.438	fear
imminente	0.438	fear
débâcle	0.438	fear
dépouillé	0.438	fear
indomptable	0.438	fear
non préparé	0.438	fear
atrophie	0.438	fear
sueur froide	0.438	fear
rhumatisme	0.438	fear
vaciller	0.438	fear
irréconciliable	0.438	fear
cassé	0.438	fear
rareté	0.438	fear
imperméable	0.438	fear
cabale	0.438	fear
probation	0.438	fear
grimacer	0.438	fear
accidentel	0.438	fear
illégitime	0.438	fear
halètement	0.438	fear
caché	0.438	fear
déplacé	0.438	fear
piquer	0.438	fear
les rebelles	0.435	fear
insultant	0.435	fear
s'arrêter	0.435	fear
mystérieux	0.435	fear
répulsion	0.431	fear
éblouissement	0.43	fear
punitif	0.425	fear
sordide	0.425	fear
tempête	0.423	fear
pieu	0.423	fear
ultimatum	0.422	fear
infâme	0.422	fear
réticent	0.422	fear
dissident	0.422	fear
coyote	0.422	fear
délétère	0.422	fear
usurpé	0.422	fear
rôder	0.422	fear
extraterrestre	0.422	fear
déprimer	0.422	fear
bière	0.422	fear
disparaître	0.422	fear
illusion	0.422	fear
païen	0.422	fear
anathème	0.422	fear
dépresson	0.422	fear
non naturel	0.422	fear
suspension	0.422	fear
stress	0.422	fear
troll	0.422	fear
région sauvage	0.422	fear
pénible	0.422	fear
infraction	0.422	fear
hydre	0.422	fear
publicpeaking	0.422	fear
baïonnette	0.422	fear
varicelle	0.422	fear
complainte	0.422	fear
extrajudiciaire	0.422	fear
bigot	0.422	fear
voler	0.422	fear
stressant	0.422	fear
instable	0.422	fear
battant	0.422	fear
évanouissement	0.422	fear
adversité	0.418	fear
ineptie	0.417	fear
outsider	0.413	fear
la laideur	0.41	fear
vautour	0.41	fear
immoral	0.41	fear
cicatrice	0.406	fear
décombres	0.406	fear
faiblement	0.406	fear
affligé	0.406	fear
la nausée	0.406	fear
gémissement	0.406	fear
tendeur	0.406	fear
congédiement	0.406	fear
oh cher	0.406	fear
pénitence	0.406	fear
omnipotence	0.406	fear
insolvable	0.406	fear
échapper	0.406	fear
résection	0.406	fear
expulser	0.406	fear
interdit	0.406	fear
stressant	0.406	fear
dégoûter	0.406	fear
possession	0.406	fear
ghetto	0.406	fear
en larmes	0.406	fear
dominant	0.406	fear
désordre	0.406	fear
drones	0.406	fear
prudent	0.406	fear
coupure électrique	0.406	fear
griffe	0.406	fear
désactivée	0.406	fear
hurler	0.406	fear
stressant	0.406	fear
insouciance	0.406	fear
bourrasque	0.406	fear
socialisme	0.405	fear
conspiration	0.4	fear
dureté	0.4	fear
défection	0.398	fear
absence	0.396	fear
gémissement	0.394	fear
croisade	0.392	fear
la discrimination	0.391	fear
en évitant	0.391	fear
dissimulation	0.391	fear
manifeste	0.391	fear
théocratique	0.391	fear
sans emploi	0.391	fear
la pauvreté	0.391	fear
soufre	0.391	fear
kyste	0.391	fear
radon	0.391	fear
conquérir	0.391	fear
troubles	0.391	fear
séparation	0.391	fear
soupçon	0.391	fear
spaz	0.391	fear
épouvantail	0.391	fear
endurci	0.391	fear
réfutation	0.391	fear
repoussant	0.391	fear
piège	0.391	fear
fendre	0.391	fear
gorgée	0.391	fear
nerveux	0.391	fear
soumission	0.391	fear
procédure	0.391	fear
que fais-je	0.391	fear
xanax	0.391	fear
mousquet	0.391	fear
descente	0.391	fear
excitation	0.391	fear
étouffé	0.391	fear
perdre	0.391	fear
diagnostic	0.391	fear
urgence	0.391	fear
mental	0.391	fear
rejeter	0.391	fear
exigeant	0.391	fear
insolvabilité	0.391	fear
douteux	0.391	fear
orc	0.388	fear
banni	0.388	fear
palpiter	0.388	fear
désapprouver	0.38	fear
dontpanique	0.378	fear
retraits	0.377	fear
plaidoyer	0.377	fear
kérosène	0.375	fear
bunker	0.375	fear
échappé	0.375	fear
dentisterie	0.375	fear
raillerie	0.375	fear
exposer	0.375	fear
mal	0.375	fear
barricade	0.375	fear
faillite	0.375	fear
froideur	0.375	fear
frégate	0.375	fear
interroger	0.375	fear
pleurer	0.375	fear
ocd	0.375	fear
dissolution	0.375	fear
militaire	0.375	fear
obi	0.375	fear
se faufiler	0.375	fear
chimère	0.375	fear
criquet	0.375	fear
embarras	0.375	fear
santé mentale	0.375	fear
sultan	0.375	fear
psychologique	0.375	fear
soupçonné	0.375	fear
impatient	0.375	fear
débiteur	0.375	fear
khan	0.375	fear
nauséeux	0.375	fear
tourbillon	0.375	fear
idée fausse	0.375	fear
grippe	0.375	fear
gouffre	0.375	fear
décret	0.375	fear
pression	0.375	fear
répulsif	0.373	fear
inconnu	0.369	fear
rogner	0.367	fear
jalousie	0.365	fear
dépréciation	0.359	fear
mépris	0.359	fear
gouvernement	0.359	fear
désert	0.359	fear
pointe	0.359	fear
le rebord	0.359	fear
redoutable	0.359	fear
examen	0.359	fear
gaspillage	0.359	fear
passage	0.359	fear
sortie	0.359	fear
sans fond	0.359	fear
rejette	0.359	fear
timide	0.359	fear
burke	0.359	fear
cabot	0.359	fear
jaunisse	0.359	fear
révolution	0.359	fear
de précaution	0.359	fear
dard	0.359	fear
averti	0.359	fear
pessimisme	0.359	fear
agresser	0.359	fear
difficile	0.359	fear
rougeole	0.359	fear
consternation	0.359	fear
rebelle	0.359	fear
récurrent	0.359	fear
protestant	0.359	fear
anomalie	0.359	fear
maux de tête	0.359	fear
triste	0.359	fear
mandamus	0.359	fear
concerné	0.359	fear
sectaire	0.359	fear
conquête	0.359	fear
la faillite	0.359	fear
contraindre	0.358	fear
languissant	0.358	fear
fléau	0.356	fear
directeur	0.354	fear
accuser	0.354	fear
négatif	0.352	fear
avocat	0.349	fear
calomnie	0.348	fear
retranchement	0.345	fear
imminent	0.345	fear
sifflement	0.344	fear
baissier	0.344	fear
solitude	0.344	fear
obstacle	0.344	fear
la discipline	0.344	fear
verdict	0.344	fear
téméraire	0.344	fear
glas	0.344	fear
embardée	0.344	fear
tabou	0.344	fear
parachute	0.344	fear
chagrin	0.344	fear
hésitation	0.344	fear
servile	0.344	fear
defier	0.344	fear
lancements	0.344	fear
fanatisme	0.344	fear
aaaaaaah	0.344	fear
opium	0.344	fear
la honte	0.344	fear
résistant	0.344	fear
précaire	0.344	fear
anguille	0.344	fear
opposé	0.344	fear
mri	0.344	fear
rabaisser	0.344	fear
pénurie	0.344	fear
injustifiable	0.344	fear
récession	0.344	fear
coupeur	0.344	fear
éluder	0.344	fear
ravageur	0.344	fear
psych	0.344	fear
évitement	0.344	fear
litigieux	0.344	fear
irrespectueux	0.343	fear
phalange	0.342	fear
créature	0.34	fear
spectre	0.331	fear
hypothèque	0.331	fear
énigmatique	0.329	fear
bugaboo	0.328	fear
fermer	0.328	fear
spillin	0.328	fear
encombrement	0.328	fear
mise en garde	0.328	fear
insensé	0.328	fear
police	0.328	fear
retirer	0.328	fear
digue	0.328	fear
sentiment	0.328	fear
subalterne	0.328	fear
annuler	0.328	fear
indésirable	0.328	fear
cochonneries	0.328	fear
défendeur	0.328	fear
suprématie	0.328	fear
métier à tisser	0.328	fear
urticaire	0.328	fear
mésaventure	0.328	fear
uhoh	0.328	fear
bizarre	0.328	fear
à tort	0.328	fear
mauviette	0.328	fear
à la dérive	0.328	fear
gladiateur	0.328	fear
avant-poste	0.328	fear
éthéré	0.328	fear
domination	0.328	fear
malchanceux	0.328	fear
jarret	0.328	fear
temps de jeu	0.328	fear
instable	0.327	fear
rare	0.327	fear
antisocial	0.324	fear
égaré	0.32	fear
vigilant	0.319	fear
socialiste	0.318	fear
licou	0.318	fear
pessimiste	0.317	fear
le rythme	0.316	fear
des munitions	0.312	fear
tourbillon	0.312	fear
isolement	0.312	fear
museau	0.312	fear
tromperie	0.312	fear
connivence	0.312	fear
bas	0.312	fear
méchant	0.312	fear
inquiet	0.312	fear
valium	0.312	fear
dentiste	0.312	fear
obsédant	0.312	fear
puissant	0.312	fear
fourrer	0.312	fear
épineux	0.312	fear
plaider	0.312	fear
rouille	0.312	fear
thérapeute	0.312	fear
date limite	0.312	fear
adversaire	0.312	fear
ahhhhhhhh	0.312	fear
wimpy	0.312	fear
discontinuité	0.312	fear
clinique	0.312	fear
étranger	0.312	fear
facturable	0.312	fear
conspirer	0.312	fear
perplexité	0.312	fear
laxatif	0.312	fear
inattendu	0.312	fear
penser trop	0.309	fear
les doutes	0.308	fear
gravité	0.305	fear
irrationnel	0.305	fear
effacer	0.303	fear
taquineries	0.303	fear
rasoir	0.303	fear
transpiration	0.298	fear
médical	0.297	fear
réticent	0.297	fear
juger	0.297	fear
timidité	0.297	fear
déprécié	0.297	fear
éviter	0.297	fear
interminable	0.297	fear
inégalée	0.297	fear
accroupi	0.297	fear
déflation	0.297	fear
attention	0.297	fear
patauger	0.297	fear
géant	0.297	fear
cacher	0.297	fear
chienne	0.297	fear
marais	0.297	fear
auditeur	0.297	fear
précipité	0.297	fear
inflation	0.297	fear
balle	0.297	fear
lourd	0.297	fear
tromper	0.297	fear
mage	0.297	fear
inonder	0.287	fear
désinformation	0.286	fear
tribunal	0.284	fear
aversion	0.283	fear
se tromper	0.281	fear
cartouche	0.281	fear
prudent	0.281	fear
fanatique	0.281	fear
hostile	0.281	fear
blême	0.281	fear
surveillance	0.281	fear
dépêchez-vous	0.281	fear
confusion	0.281	fear
soumission	0.281	fear
en volant	0.281	fear
défi	0.281	fear
approche	0.281	fear
restes	0.281	fear
pas prêt	0.281	fear
apache	0.281	fear
se ruer	0.281	fear
gonflement	0.281	fear
japper	0.281	fear
forteresse	0.281	fear
nain	0.281	fear
décourager	0.281	fear
indiscipliné	0.281	fear
intense	0.279	fear
non conformité	0.276	fear
alertes	0.276	fear
avions	0.274	fear
mécontent	0.273	fear
flic	0.273	fear
débridé	0.271	fear
détachement	0.266	fear
bandeau	0.266	fear
obliger	0.266	fear
auditions	0.266	fear
opération	0.266	fear
encapuchonné	0.266	fear
pétard	0.266	fear
oublié	0.266	fear
accroupissement	0.266	fear
des averses de neige	0.266	fear
shanghai	0.266	fear
insomnie	0.266	fear
défaut	0.266	fear
problème	0.266	fear
se faufiler	0.266	fear
nouveau travail	0.266	fear
étrange	0.266	fear
capuche	0.266	fear
régiment	0.266	fear
élévation	0.266	fear
manteau	0.266	fear
immerger	0.266	fear
confession	0.266	fear
acrobate	0.266	fear
ventouses	0.266	fear
déraper	0.266	fear
foules	0.266	fear
ceinture	0.266	fear
phrase	0.266	fear
affront	0.266	fear
éperon	0.262	fear
débiteur hypothécaire	0.258	fear
la défense	0.258	fear
vieille sorcière	0.25	fear
garde	0.25	fear
courir	0.25	fear
cataracte	0.25	fear
inconnu	0.25	fear
impatiemment	0.25	fear
arrêt	0.25	fear
évaluation	0.25	fear
coquin	0.25	fear
prévenu	0.25	fear
dernières nouvelles	0.25	fear
doute	0.25	fear
obligeant	0.25	fear
faute	0.25	fear
défendre	0.25	fear
vieille fille	0.25	fear
se repentir	0.25	fear
délirant	0.25	fear
indécis	0.25	fear
insecte	0.25	fear
piquet	0.25	fear
indifférence	0.25	fear
coulé	0.25	fear
entretien d'embauche	0.25	fear
réagir	0.25	fear
marécageux	0.25	fear
bouc émissaire	0.25	fear
furtif	0.25	fear
échoué	0.242	fear
mauvaise habitude	0.242	fear
plus haut	0.236	fear
intercéder	0.234	fear
psychiatre	0.234	fear
mâle	0.234	fear
insomniaque	0.234	fear
dépendance	0.234	fear
échafaud	0.234	fear
rétrécir	0.234	fear
raviver	0.234	fear
surmultipliée	0.234	fear
abeille	0.234	fear
sans sommeil	0.234	fear
inégalité	0.234	fear
pignon	0.234	fear
finalisé	0.234	fear
poulet	0.234	fear
difficulté	0.234	fear
instinctif	0.234	fear
mécontentement	0.234	fear
des abris	0.234	fear
bord	0.234	fear
aaaah	0.234	fear
bourdonner	0.234	fear
ce moment	0.234	fear
se précipiter	0.233	fear
dormi trop longtemps	0.226	fear
défaut	0.226	fear
confessionnal	0.225	fear
impatient	0.224	fear
aga	0.219	fear
inégal	0.219	fear
jungle	0.219	fear
frisson	0.219	fear
appât	0.219	fear
immigrant	0.219	fear
vaciller	0.219	fear
virer	0.219	fear
dernière minute	0.219	fear
doigts croisés	0.219	fear
et qu'est-ce qui se passerait si	0.219	fear
avare	0.219	fear
blues	0.219	fear
tactique	0.219	fear
révélations	0.219	fear
transpiration	0.219	fear
canne	0.219	fear
soupeser	0.219	fear
fatigué	0.218	fear
pronostic	0.217	fear
vigilance	0.216	fear
excité	0.214	fear
souhaite moi bonne chance	0.212	fear
tant à faire	0.212	fear
trop à faire	0.212	fear
essais	0.21	fear
clowns	0.207	fear
fluctuation	0.204	fear
examen	0.204	fear
agité	0.204	fear
intimité	0.203	fear
caille	0.203	fear
surmonter	0.203	fear
acceptations	0.203	fear
naissance	0.203	fear
phew	0.203	fear
puissant	0.203	fear
des recoins	0.203	fear
montée	0.203	fear
aidez-moi	0.203	fear
traverser	0.203	fear
se dépêcher	0.203	fear
sans peur	0.2	fear
changement	0.198	fear
vaisselle	0.198	fear
résister	0.197	fear
au plus vite	0.191	fear
surmonter	0.188	fear
jeu de patience	0.188	fear
intrigue	0.188	fear
immobilité	0.188	fear
dû	0.188	fear
avec prudence	0.188	fear
regarder	0.188	fear
avocat	0.188	fear
punaise	0.188	fear
fragile	0.188	fear
non organisé	0.188	fear
règle	0.188	fear
avance	0.188	fear
noeuds	0.188	fear
tract	0.188	fear
augmenter	0.188	fear
gnome	0.188	fear
délais	0.188	fear
elfe	0.185	fear
toujours en attente	0.184	fear
solitaire	0.183	fear
glissant	0.181	fear
entrevue	0.18	fear
chaque homme	0.178	fear
spéculation	0.176	fear
dois savoir	0.173	fear
surprise	0.172	fear
droits de l'homme	0.172	fear
coquille	0.172	fear
évaluation	0.172	fear
culte	0.172	fear
balle	0.172	fear
calme	0.172	fear
settlor	0.172	fear
interviewer	0.172	fear
incertain	0.172	fear
concurrence	0.172	fear
réglementaire	0.172	fear
prêt à partir	0.172	fear
bouleau	0.172	fear
barre	0.172	fear
point de contrôle	0.172	fear
incertain	0.172	fear
moins	0.167	fear
timide	0.162	fear
iris	0.16	fear
intimement	0.156	fear
sournois	0.156	fear
audition	0.156	fear
retraite	0.156	fear
légalisé	0.156	fear
des bases	0.156	fear
cessez-le-feu	0.156	fear
audition	0.156	fear
besoin de ça	0.156	fear
des médicaments	0.156	fear
compte à rebours	0.156	fear
courageux	0.154	fear
trop-pensant	0.153	fear
revenir en arrière	0.151	fear
s'est levé	0.15	fear
censurer	0.149	fear
huissier	0.147	fear
programme	0.147	fear
gentil	0.141	fear
nouveau venu	0.141	fear
rationalité	0.141	fear
imagination	0.141	fear
crique	0.141	fear
attendre	0.141	fear
caricature	0.141	fear
retard	0.141	fear
éventualité	0.141	fear
validité	0.141	fear
timide	0.14	fear
déjàyyyyy	0.14	fear
symptôme	0.133	fear
exciter	0.132	fear
raton laveur	0.127	fear
faire campagne	0.125	fear
pitre	0.125	fear
marier	0.125	fear
jour de jeu	0.125	fear
faucon	0.125	fear
si prêt	0.125	fear
lutin	0.125	fear
essaie	0.125	fear
prévenir	0.125	fear
needtorelax	0.125	fear
nager	0.125	fear
ahhh	0.125	fear
pharmacie	0.123	fear
affaissement	0.123	fear
policier	0.121	fear
rêvé	0.111	fear
dentelle	0.111	fear
nœud	0.109	fear
au cas où	0.109	fear
sainteté	0.109	fear
confiance	0.109	fear
notoriété	0.109	fear
devoirs	0.109	fear
grand jour	0.109	fear
poids	0.109	fear
prier	0.109	fear
destination	0.109	fear
mince	0.1	fear
indécis	0.098	fear
sympathique	0.097	fear
dieu	0.094	fear
cas	0.094	fear
sur de soi	0.094	fear
casque	0.094	fear
équilibre	0.094	fear
traiter	0.094	fear
localiser	0.094	fear
fidèle	0.094	fear
grades	0.094	fear
conseiller	0.094	fear
au nord-est	0.088	fear
l'obtention du diplôme	0.078	fear
la compassion	0.078	fear
nourrir	0.078	fear
classé	0.075	fear
maman	0.07	fear
bébé	0.067	fear
jeunesse	0.062	fear
des civils	0.062	fear
parade	0.062	fear
études supérieures	0.062	fear
en espèces	0.062	fear
civil	0.062	fear
nébulosité	0.062	fear
périple	0.062	fear
des lignes directrices	0.062	fear
âme sœur	0.062	fear
opéra	0.057	fear
synonyme	0.056	fear
honnête	0.047	fear
priant	0.047	fear
intelligence	0.038	fear
bénévole	0.031	fear
lignes	0.031	fear
romance	0.031	fear
obéit	0.016	fear
déchirant	0.969	sadness
deuil	0.969	sadness
tragique	0.961	sadness
holocauste	0.953	sadness
suicidaire	0.941	sadness
misère	0.938	sadness
massacre	0.931	sadness
euthanasie	0.927	sadness
dépression	0.925	sadness
fatal	0.922	sadness
deuil	0.922	sadness
en deuil	0.922	sadness
privé	0.92	sadness
dévastation	0.917	sadness
mort	0.915	sadness
suicide	0.912	sadness
dévasté	0.912	sadness
catastrophe	0.911	sadness
effroyable	0.907	sadness
la tragédie	0.906	sadness
décédés	0.906	sadness
déprimant	0.906	sadness
angoisse	0.902	sadness
agonie	0.9	sadness
mortel	0.898	sadness
larmes	0.896	sadness
décédé	0.891	sadness
mortinaissance	0.891	sadness
meurtrier	0.877	sadness
cancer	0.875	sadness
mourant	0.875	sadness
râpé	0.875	sadness
dévastateur	0.875	sadness
tristesse	0.864	sadness
morbidité	0.864	sadness
exécution	0.859	sadness
abandon	0.859	sadness
crucifixion	0.859	sadness
douleur	0.859	sadness
déprimé	0.859	sadness
périr	0.859	sadness
traumatique	0.859	sadness
atrocité	0.859	sadness
cadavre	0.853	sadness
trahi	0.848	sadness
traîtrise	0.848	sadness
funéraire	0.844	sadness
pleurer	0.844	sadness
meurtrier	0.844	sadness
misérable	0.844	sadness
désespoir	0.844	sadness
persécution	0.844	sadness
triste	0.844	sadness
souffrance	0.844	sadness
chagrin	0.844	sadness
homicide	0.844	sadness
abattage	0.844	sadness
détruit	0.844	sadness
horrible	0.844	sadness
le malheur	0.839	sadness
estropié	0.836	sadness
effusion de sang	0.836	sadness
peiné	0.833	sadness
homicide involontaire	0.833	sadness
carnage	0.833	sadness
insupportable	0.83	sadness
mort-né	0.83	sadness
tourmenter	0.828	sadness
impuissance	0.828	sadness
annihilation	0.828	sadness
esclavage	0.828	sadness
annihilé	0.828	sadness
esclave	0.828	sadness
victime	0.828	sadness
les horreurs	0.828	sadness
meurtre	0.828	sadness
faire le deuil	0.828	sadness
morbide	0.828	sadness
abandonné	0.828	sadness
maladie	0.828	sadness
mutilation	0.828	sadness
fausse couche	0.824	sadness
famine	0.819	sadness
cruauté	0.812	sadness
childloss	0.812	sadness
disgrâce	0.812	sadness
meurtre	0.812	sadness
oppression	0.812	sadness
terrorisme	0.812	sadness
échec	0.812	sadness
famine	0.812	sadness
chagrin	0.812	sadness
enterrement	0.812	sadness
attriste	0.812	sadness
éperdu	0.812	sadness
désespoir	0.812	sadness
malheureusement	0.812	sadness
triste	0.812	sadness
sanglant	0.806	sadness
inhumanité	0.804	sadness
périr	0.804	sadness
malignité	0.803	sadness
mortification	0.802	sadness
tuer	0.797	sadness
sans vie	0.797	sadness
horrible	0.797	sadness
esclave	0.797	sadness
désolation	0.797	sadness
dévaster	0.797	sadness
périt	0.797	sadness
assassinat	0.797	sadness
mortuaire	0.797	sadness
terriblement	0.797	sadness
leucémie	0.797	sadness
sarcome	0.797	sadness
mortel	0.797	sadness
potence	0.797	sadness
coeur brisé	0.792	sadness
bannissement	0.79	sadness
affliger	0.789	sadness
découragé	0.788	sadness
enterrer	0.781	sadness
profanation	0.781	sadness
démoralisé	0.781	sadness
tumeur	0.781	sadness
terroriser	0.781	sadness
pleurs	0.781	sadness
peine d'amour	0.781	sadness
mourir	0.773	sadness
lyncher	0.773	sadness
victime	0.77	sadness
solitude	0.766	sadness
avortement	0.766	sadness
démembrement	0.766	sadness
malade	0.766	sadness
craintif	0.766	sadness
dépourvu	0.766	sadness
torture	0.766	sadness
tueur	0.766	sadness
cimetière	0.766	sadness
fatalité	0.766	sadness
condoléance	0.766	sadness
condamné	0.766	sadness
douloureusement	0.758	sadness
moribond	0.758	sadness
catastrophe	0.758	sadness
déprimer	0.755	sadness
condamnation	0.754	sadness
victime	0.75	sadness
oblitération	0.75	sadness
dépressif	0.75	sadness
terroriste	0.75	sadness
culpabilité	0.75	sadness
inceste	0.75	sadness
pandémie	0.75	sadness
malheureux	0.75	sadness
vaincu	0.75	sadness
douloureux	0.75	sadness
déplorable	0.75	sadness
damnation	0.75	sadness
jour du jugement dernier	0.75	sadness
corps	0.75	sadness
enlèvement	0.75	sadness
douloureux	0.75	sadness
de regret	0.75	sadness
désespoir	0.75	sadness
cri	0.75	sadness
écœurant	0.75	sadness
hémorragie	0.75	sadness
injustice	0.745	sadness
attentat à la pudeur	0.744	sadness
exilé	0.742	sadness
épouvantable	0.742	sadness
atroce	0.738	sadness
exterminer	0.736	sadness
disgracié	0.734	sadness
sans abri	0.734	sadness
détruire	0.734	sadness
battu	0.734	sadness
trahison	0.734	sadness
affreux	0.734	sadness
guerre	0.734	sadness
assassin	0.734	sadness
catastrophique	0.734	sadness
solitaire	0.734	sadness
misérablement	0.734	sadness
morgue	0.734	sadness
abattage	0.734	sadness
tremblement de terre	0.734	sadness
orphelin	0.734	sadness
indifférent	0.729	sadness
la tombe	0.727	sadness
vide	0.727	sadness
malheureusement	0.727	sadness
aliéné	0.727	sadness
chargé	0.722	sadness
abandonné	0.719	sadness
lèpre	0.719	sadness
cr	0.719	sadness
paralysie	0.719	sadness
mal intentionné	0.719	sadness
honteux	0.719	sadness
malheur	0.719	sadness
danger	0.719	sadness
décourageant	0.719	sadness
sans coeur	0.719	sadness
violemment	0.719	sadness
paralyser	0.719	sadness
horreur	0.719	sadness
atrophie	0.719	sadness
manquant	0.719	sadness
émacié	0.719	sadness
douleur	0.719	sadness
disparition	0.717	sadness
maladif	0.712	sadness
mécontent	0.712	sadness
la violence	0.712	sadness
rejeté	0.712	sadness
déchiré	0.71	sadness
calamité	0.709	sadness
sinistre	0.708	sadness
grave	0.704	sadness
corbillard	0.703	sadness
disparu	0.703	sadness
écrasé	0.703	sadness
isolement	0.703	sadness
effondrement	0.703	sadness
obit	0.703	sadness
paralysé	0.703	sadness
carcinome	0.703	sadness
suffocant	0.703	sadness
déformé	0.703	sadness
inhumain	0.703	sadness
punir	0.703	sadness
incurable	0.703	sadness
étrangler	0.703	sadness
défiguré	0.703	sadness
victime	0.703	sadness
déformation	0.703	sadness
abattoir	0.703	sadness
décomposition	0.703	sadness
humilier	0.703	sadness
enterré	0.703	sadness
oppresseur	0.703	sadness
abandonner	0.703	sadness
en larmes	0.703	sadness
isoler	0.703	sadness
vie des sucres	0.7	sadness
enfer	0.7	sadness
ruineux	0.698	sadness
bannir	0.697	sadness
ruiné	0.697	sadness
maudit	0.697	sadness
veuve	0.697	sadness
disparu	0.695	sadness
déplacé	0.691	sadness
la pauvreté	0.69	sadness
maladie	0.688	sadness
désespéré	0.688	sadness
travestir	0.688	sadness
déserté	0.688	sadness
regrettant	0.688	sadness
perte	0.688	sadness
pathétique	0.688	sadness
sans espoir	0.688	sadness
poignarder	0.688	sadness
tournage	0.688	sadness
toujours seul	0.688	sadness
détenu	0.688	sadness
folie	0.688	sadness
nuisible	0.688	sadness
terminal	0.688	sadness
épidémie	0.688	sadness
blesser	0.688	sadness
dépravé	0.688	sadness
banni	0.688	sadness
infidélité	0.688	sadness
négligé	0.688	sadness
sanglot	0.688	sadness
en larmes	0.688	sadness
démence	0.688	sadness
veuf	0.688	sadness
hospice	0.688	sadness
congédiement	0.686	sadness
aliénation	0.685	sadness
épreuves	0.685	sadness
enlever	0.682	sadness
étranglement	0.682	sadness
saignement	0.673	sadness
banni	0.672	sadness
désespéré	0.672	sadness
malheureusement	0.672	sadness
rabaisser	0.672	sadness
mal	0.672	sadness
dénigrer	0.672	sadness
se sentir mal	0.672	sadness
emprisonnement	0.672	sadness
affreux	0.672	sadness
puni	0.672	sadness
vous me manquez	0.672	sadness
misérable	0.672	sadness
abortif	0.672	sadness
nécrologie	0.672	sadness
sanglant	0.672	sadness
misérable	0.672	sadness
poison	0.672	sadness
cercueil	0.672	sadness
privation	0.672	sadness
malveillant	0.672	sadness
lamenter	0.672	sadness
désactivée	0.672	sadness
décomposé	0.672	sadness
stérile	0.67	sadness
empoisonné	0.667	sadness
bourreau	0.667	sadness
maladie	0.665	sadness
opprimer	0.664	sadness
désincarné	0.66	sadness
déchirer	0.656	sadness
haine	0.656	sadness
solitaire	0.656	sadness
morne	0.656	sadness
